Nazwa;POLSKA;POLSKA;POLSKA;DOLNOŚLĄSKIE;DOLNOŚLĄSKIE;DOLNOŚLĄSKIE;KUJAWSKO-POMORSKIE;KUJAWSKO-POMORSKIE;KUJAWSKO-POMORSKIE;LUBELSKIE;LUBELSKIE;LUBELSKIE;LUBUSKIE;LUBUSKIE;LUBUSKIE;ŁÓDZKIE;ŁÓDZKIE;ŁÓDZKIE;MAŁOPOLSKIE;MAŁOPOLSKIE;MAŁOPOLSKIE;MAZOWIECKIE;MAZOWIECKIE;MAZOWIECKIE;OPOLSKIE;OPOLSKIE;OPOLSKIE;PODKARPACKIE;PODKARPACKIE;PODKARPACKIE;PODLASKIE;PODLASKIE;PODLASKIE;POMORSKIE;POMORSKIE;POMORSKIE;ŚLĄSKIE;ŚLĄSKIE;ŚLĄSKIE;ŚWIĘTOKRZYSKIE;ŚWIĘTOKRZYSKIE;ŚWIĘTOKRZYSKIE;WARMIŃSKO-MAZURSKIE;WARMIŃSKO-MAZURSKIE;WARMIŃSKO-MAZURSKIE;WIELKOPOLSKIE;WIELKOPOLSKIE;WIELKOPOLSKIE;ZACHODNIOPOMORSKIE;ZACHODNIOPOMORSKIE;ZACHODNIOPOMORSKIE
Rok;2016;2017;2018;2016;2017;2018;2016;2017;2018;2016;2017;2018;2016;2017;2018;2016;2017;2018;2016;2017;2018;2016;2017;2018;2016;2017;2018;2016;2017;2018;2016;2017;2018;2016;2017;2018;2016;2017;2018;2016;2017;2018;2016;2017;2018;2016;2017;2018;2016;2017;2018
Wartosc;4290,52;4527,89;4834,76;4385,84;4654,51;4942,39;3672,98;3886,2;4139,21;3815,95;4020,25;4260,71;3734,9;3950,95;4239,92;3925,1;4141,94;4441,29;4077,91;4347,1;4678,95;5240,86;5523,65;5888,9;3927,04;4144,91;4379,25;3653,67;3837,17;4089,81;3767,2;4005,94;4264,04;4274,73;4496,64;4794,74;4295,29;4481,57;4825,28;3669,57;3911,49;4171,17;3619,16;3802,98;4028,33;3894,1;4124,13;4382,96;3946,28;4154,25;4431,95
